23865	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23865	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23865	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17639	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17639	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17639	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17639	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17587	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17587	5773	General	_NotDefined		2	DAF SR SR1339	2 - DAF SR SR1339
17587	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17587	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23883	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23883	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23883	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23883	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23883	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23883	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23883	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23883	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23871	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23871	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23871	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23872	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23872	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23872	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23872	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23872	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23872	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17590	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17590	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
17590	5773	General	_NotDefined		2	DAF SR SR1339	2 - DAF SR SR1339
17590	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17590	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17590	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
17590	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
17590	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23892	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23892	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23892	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23893	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23893	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23893	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23893	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23893	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23893	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23889	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23889	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23889	5770	General	_NotDefined		2	DAF N-Series 150N	2 - DAF N-Series 150N
23889	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
23889	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
17593	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
17593	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
17593	5802	General	_NotDefined		2	DAF HR HR1355T	2 - DAF HR HR1355T
17593	5803	General	_NotDefined		2	DAF SR SR1360T	2 - DAF SR SR1360T
23904	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23904	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23904	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
23904	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23905	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23905	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23905	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
23905	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23905	7148	General	_NotDefined		2	DAF HR HR1360T	2 - DAF HR HR1360T
