103842	423	12062	APRILIA MO	4049	2004-01-01	2004-12-31	ETV 1000 Caponord Rally (PS)	APRILIA MOTORCYCLES ETV ETV 1000 Caponord Rally (PS)	1
109521	424	12062	APRILIA MO	4049	2006-01-01	2006-01-31	ETV 1000 Raid ABS	APRILIA MOTORCYCLES ETV ETV 1000 Raid ABS	1
103843	425	12063	APRILIA MO	4049	1998-01-01	2003-12-31	ETX 125 (PH)	APRILIA MOTORCYCLES ETX ETX 125 (PH)	1
103844	426	12063	APRILIA MO	4049	1988-01-01	0000-00-00	ETX 6.35	APRILIA MOTORCYCLES ETX ETX 6.35	1
103845	427	12063	APRILIA MO	4049	1985-01-01	1988-12-31	ETX 350	APRILIA MOTORCYCLES ETX ETX 350	1
103848	428	12064	APRILIA MO	4049	1990-01-01	0000-00-00	Europa	APRILIA MOTORCYCLES EUROPA Europa	1
90100025	429	12064	APRILIA MO	4049	1990-01-01	1991-12-31	EUROPA 125	APRILIA MOTORCYCLES EUROPA EUROPA 125	0
104116	430	12065	APRILIA MO	4049	1997-01-01	1999-12-31	Gulliver LC CatCon. (LH)	APRILIA MOTORCYCLES GULLIVER Gulliver LC CatCon. (LH)	1
102412	431	12065	APRILIA MO	4049	1995-01-01	1998-12-31	Gulliver AC CatCon. (LH)	APRILIA MOTORCYCLES GULLIVER Gulliver AC CatCon. (LH)	1
104121	432	12066	APRILIA MO	4049	1999-01-01	2001-12-31	Habana 50 CatCon. (PK)	APRILIA MOTORCYCLES HABANA Habana 50 CatCon. (PK)	1
90100027	433	12066	APRILIA MO	4049	2003-01-01	2008-12-31	HABANA 125	APRILIA MOTORCYCLES HABANA HABANA 125	0
104120	434	12066	APRILIA MO	4049	1999-01-01	2001-12-31	Habana 50 Custom CatCon. (PK)	APRILIA MOTORCYCLES HABANA Habana 50 Custom CatCon. (PK)	1
90100028	435	12066	APRILIA MO	4049	1999-01-01	2002-12-31	HABANA 150	APRILIA MOTORCYCLES HABANA HABANA 150	0
104123	436	12066	APRILIA MO	4049	2000-01-01	2001-12-31	Habana 125 (PM)	APRILIA MOTORCYCLES HABANA Habana 125 (PM)	1
90100029	437	12066	APRILIA MO	4049	2003-01-01	2008-12-31	HABANA 150	APRILIA MOTORCYCLES HABANA HABANA 150	0
104122	438	12066	APRILIA MO	4049	2000-01-01	2001-12-31	Habana 125 Custom (PM)	APRILIA MOTORCYCLES HABANA Habana 125 Custom (PM)	1
90100026	439	12066	APRILIA MO	4049	2003-01-01	2008-12-31	HABANA 50	APRILIA MOTORCYCLES HABANA HABANA 50	0
104233	440	12067	APRILIA MO	4049	1996-01-01	2001-12-31	Leonardo 125 (MB)	APRILIA MOTORCYCLES LEONARDO Leonardo 125 (MB)	1
90100031	441	12067	APRILIA MO	4049	1996-01-01	2005-12-31	LEONARDO 150 ST	APRILIA MOTORCYCLES LEONARDO LEONARDO 150 ST	0
104232	442	12067	APRILIA MO	4049	2002-01-01	2004-12-31	Leonardo 125 ST (TB)	APRILIA MOTORCYCLES LEONARDO Leonardo 125 ST (TB)	1
90100032	443	12067	APRILIA MO	4049	1999-01-01	2005-12-31	LEONARDO 250 ST	APRILIA MOTORCYCLES LEONARDO LEONARDO 250 ST	0
104234	444	12067	APRILIA MO	4049	1997-01-01	2000-12-31	Leonardo 150 (MB)	APRILIA MOTORCYCLES LEONARDO Leonardo 150 (MB)	1
90100030	445	12067	APRILIA MO	4049	1999-01-01	2004-12-31	LEONARDO 300	APRILIA MOTORCYCLES LEONARDO LEONARDO 300	0
109520	446	12067	APRILIA MO	4049	2002-01-01	0000-00-00	Leonardo 150 (TB)	APRILIA MOTORCYCLES LEONARDO Leonardo 150 (TB)	1
90100033	447	12067	APRILIA MO	4049	2002-01-01	2005-12-31	LEONARDO 300 ST	APRILIA MOTORCYCLES LEONARDO LEONARDO 300 ST	0
102484	448	12067	APRILIA MO	4049	1999-01-01	2001-12-31	Leonardo 250 (PD)	APRILIA MOTORCYCLES LEONARDO Leonardo 250 (PD)	1
109518	449	12067	APRILIA MO	4049	2002-01-01	0000-00-00	Leonardo 250	APRILIA MOTORCYCLES LEONARDO Leonardo 250	1
104235	450	12067	APRILIA MO	4049	2005-01-01	2006-12-31	Leonardo 300	APRILIA MOTORCYCLES LEONARDO Leonardo 300	1
104326	451	12068	APRILIA MO	4049	2007-11-01	2013-12-31	Mana 850	APRILIA MOTORCYCLES MANA Mana 850	1
104327	452	12068	APRILIA MO	4049	2009-04-01	2013-12-31	Mana 850 GT	APRILIA MOTORCYCLES MANA Mana 850 GT	1
